annee_reference;domain;indicator_id;territoire;value;unit;source_family;authority;source_file;source_page;source_value_label;record_role;quality_status;coverage_status;note;numerator;denominator
2024;EAU_POTABLE;EP_VOLUME_PRODUIT;EX_SICSM;14481766.0;m³/an;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;22;;PRODUCTION;OK;COMPLETE;Production commune au périmètre Ex-SICSM, non ventilée entre CAESM et Robert-Trinité.;;
2024;EAU_POTABLE;EP_VOLUME_MIS_DISTRIBUTION;EX_SICSM;13857686.0;m³/an;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;22;;PRODUCTION;OK;COMPLETE;Périmètre Ex-SICSM.;;
2024;EAU_POTABLE;EP_VOLUME_FACTURE;CAESM;7564328.0;m³/an;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;22;;PRODUCTION;OK;COMPLETE;;;
2024;EAU_POTABLE;EP_RESEAU_KM;CAESM;1376.72;km;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;22;;PRODUCTION;OK;COMPLETE;;;
2024;EAU_POTABLE;EP_ABONNES;CAESM;63269.0;abonnés;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;22;;PRODUCTION;OK;COMPLETE;;;
2024;EAU_POTABLE;P101.1_LOCAL;CAESM;100.0;%;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;22;;PRODUCTION;OK;COMPLETE;;;
2024;EAU_POTABLE;P102.1_LOCAL;CAESM;100.0;%;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;22;;PRODUCTION;OK;COMPLETE;;;
2024;EAU_POTABLE;EP_VOLUME_FACTURE;ROBERT_TRINITE;1854351.0;m³/an;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;23;;PRODUCTION;OK;COMPLETE;Sous-périmètre de CAP Nord.;;
2024;EAU_POTABLE;EP_RESEAU_KM;ROBERT_TRINITE;277.63;km;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;23;;PRODUCTION;OK;COMPLETE;Sous-périmètre de CAP Nord.;;
2024;EAU_POTABLE;EP_ABONNES;ROBERT_TRINITE;14414.0;abonnés;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;23;;PRODUCTION;OK;COMPLETE;Sous-périmètre de CAP Nord.;;
2024;ASSAINISSEMENT_COLLECTIF;AC_STEU_NB;CAESM;33.0;stations;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;7;;PRODUCTION;OK;COMPLETE;;;
2024;ASSAINISSEMENT_COLLECTIF;AC_POSTES_REFOULEMENT;CAESM;123.0;ouvrages;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;7;;PRODUCTION;OK;COMPLETE;;;
2024;ASSAINISSEMENT_COLLECTIF;AC_VOLUME_TRAITE;CAESM;3354252.0;m³/an;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;7;;PRODUCTION;OK;COMPLETE;;;
2024;ASSAINISSEMENT_COLLECTIF;AC_BOUES_TMS;CAESM;327.53;tMS/an;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;7;;PRODUCTION;OK;COMPLETE;;;
2024;ASSAINISSEMENT_COLLECTIF;AC_RESEAU_KM;CAESM;305.1;km;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;7;;PRODUCTION;OK;COMPLETE;;;
2024;ASSAINISSEMENT_COLLECTIF;AC_ABONNES;CAESM;24342.0;abonnés;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;7;;PRODUCTION;OK;COMPLETE;;;
2024;ASSAINISSEMENT_COLLECTIF;AC_STEU_NB;ROBERT_TRINITE;8.0;stations;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;8;;PRODUCTION;OK;COMPLETE;Sous-périmètre de CAP Nord.;;
2024;ASSAINISSEMENT_COLLECTIF;AC_POSTES_REFOULEMENT;ROBERT_TRINITE;62.0;ouvrages;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;8;;PRODUCTION;OK;COMPLETE;Sous-périmètre de CAP Nord.;;
2024;ASSAINISSEMENT_COLLECTIF;AC_VOLUME_TRAITE;ROBERT_TRINITE;745823.0;m³/an;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;8;;PRODUCTION;OK;COMPLETE;Sous-périmètre de CAP Nord.;;
2024;ASSAINISSEMENT_COLLECTIF;AC_BOUES_TMS;ROBERT_TRINITE;70.0;tMS/an;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;8;;PRODUCTION;OK;COMPLETE;Sous-périmètre de CAP Nord.;;
2024;ASSAINISSEMENT_COLLECTIF;AC_RESEAU_KM;ROBERT_TRINITE;99.5;km;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;8;;PRODUCTION;OK;COMPLETE;Sous-périmètre de CAP Nord.;;
