annee_reference;domain;indicator_id;territoire;value;unit;source_family;authority;source_file;source_page;source_value_label;record_role;quality_status;coverage_status;note;numerator;denominator
2023;EAU_POTABLE;EP_ABONNES;CACEM;77158;abonnés;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;22;;PRODUCTION;OK;COMPLETE;;;
2023;EAU_POTABLE;EP_VOLUME_FACTURE;CACEM;10947922;m³/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;33;;PRODUCTION;OK;COMPLETE;;;
2023;EAU_POTABLE;EP_VOLUME_PRODUIT;CACEM;15103494.0;m³/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;29;;PRODUCTION;OK;COMPLETE;;;
2023;EAU_POTABLE;EP_VOLUME_PRELEVE_LOCAL;CACEM;15400582.0;m³/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;29;;DIAGNOSTIC;OK;COMPLETE;BNPE reste source primaire des prélèvements.;;
2023;EAU_POTABLE;P104.3;CACEM;63.21;%;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;30;;PRODUCTION;OK;COMPLETE;;;
2023;EAU_POTABLE;P106.3;CACEM;19.8;m³/km/j;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;30;;PRODUCTION;OK;COMPLETE;;;
2023;EAU_POTABLE;EP_RESEAU_KM;CACEM;1038.0;km;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;27;;PRODUCTION;OK;COMPLETE;;;
2023;ASSAINISSEMENT_COLLECTIF;AC_ABONNES;CACEM;40058.0;abonnés;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;35;;PRODUCTION;OK;COMPLETE;;;
2023;ASSAINISSEMENT_COLLECTIF;AC_RESEAU_KM;CACEM;384.0;km;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;36;;PRODUCTION;OK;COMPLETE;;;
2023;ASSAINISSEMENT_COLLECTIF;AC_BOUES_TMS;CACEM;1070.42;tMS/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;40;;PRODUCTION;OK;COMPLETE;;;
2023;ASSAINISSEMENT_COLLECTIF;AC_VOLUME_FACTURE;CACEM;4945906;m³/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;41;;PRODUCTION;OK;COMPLETE;;;
2023;ANC;D301.0_LOCAL;CACEM;61094;habitants;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;60;;PRODUCTION;OK;COMPLETE;Estimation locale des habitants non desservis par un réseau de collecte.;;
2023;ANC;ANC_INSTALLATIONS_ESTIMEES;CACEM;28845;foyers/installations;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;60;;PRODUCTION;OK;COMPLETE;;;
2023;ANC;ANC_CONTROLES_TOTAL;CACEM;472;contrôles/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;60;;PRODUCTION;OK;COMPLETE;;;
2023;ANC;ANC_CONTROLE_CONCEPTION;CACEM;170;contrôles/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;61;;PRODUCTION;OK;COMPLETE;;;
2023;ANC;ANC_CONTROLE_EXECUTION;CACEM;61;contrôles/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;61;;PRODUCTION;OK;COMPLETE;;;
2023;ANC;ANC_CONTROLE_EXISTANT;CACEM;25;contrôles/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;61;;PRODUCTION;OK;COMPLETE;;;
2023;ANC;ANC_DIAGNOSTIC_VENTE;CACEM;216;contrôles/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;61;;PRODUCTION;OK;COMPLETE;;;
2023;EAU_POTABLE;EP_VOLUME_PRODUIT;EX_SICSM;15550899.0;m³/an;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2023.pdf;15;;PRODUCTION;OK;COMPLETE;Production commune au périmètre Ex-SICSM, non ventilée entre CAESM et Robert-Trinité.;;
2023;EAU_POTABLE;EP_VOLUME_MIS_DISTRIBUTION;EX_SICSM;14188553.0;m³/an;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2023.pdf;15;;PRODUCTION;OK;COMPLETE;Périmètre Ex-SICSM.;;
