annee_reference;competence;service_id;epci_normalise;code;valeur_num;valeur_texte;source_file;date_snapshot
2022;EP;196847;CAESM;D101.0;116100.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;D102.0;2.84;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;D151.0;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;P101.1;99.5;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;P102.1;99.5;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;P103.2B;105.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;P104.3;81.8;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;P105.3;6.5;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;P106.3;6.1;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;P107.2;0.18;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;P108.3;75.8;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;P109.0;0.0007;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;P151.1;10.34;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;P152.1;100.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;P153.2;0.8;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;P154.0;10.19;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;P155.1;2.01;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.056;61783.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.177;241.13;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.190;52.4;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.178;49.64;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.191;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.179;49.6;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.213;2.1;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.215;0.055;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.216;0.26;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.219;0.04;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.183;660430.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.182;539999.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.119;6302.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.185;20058302.74;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.020;639.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.003;124.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196847;CAESM;VP.152;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
