annee_reference;indicator_id;domain;territoire;perimeter_id;value;unit;numerator;denominator;source_primary;source_detail;coverage_status;quality_status;record_role;definition;note
2024;QUAL_MICROBIO_CONFORMITE;QUALITE_EAU_POTABLE;Martinique;Martinique;98.7696;%;883;894;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites microbiologiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2024;QUAL_PC_CONFORMITE;QUALITE_EAU_POTABLE;Martinique;Martinique;99.2593;%;938;945;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites physico-chimiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2024;QUAL_MICROBIO_CONFORMITE;QUALITE_EAU_POTABLE;CACEM;CACEM;99.0854;%;325;328;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites microbiologiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2024;QUAL_PC_CONFORMITE;QUALITE_EAU_POTABLE;CACEM;CACEM;99.3902;%;326;328;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites physico-chimiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2024;QUAL_MICROBIO_CONFORMITE;QUALITE_EAU_POTABLE;CAESM;CAESM;100.0;%;135;135;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites microbiologiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2024;QUAL_PC_CONFORMITE;QUALITE_EAU_POTABLE;CAESM;CAESM;100.0;%;135;135;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites physico-chimiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2024;QUAL_MICROBIO_CONFORMITE;QUALITE_EAU_POTABLE;CAP_NORD;CAP_NORD;98.1439;%;423;431;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites microbiologiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2024;QUAL_PC_CONFORMITE;QUALITE_EAU_POTABLE;CAP_NORD;CAP_NORD;98.9627;%;477;482;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites physico-chimiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
