code_prelevement;code_commune;code_reseau;date_prelevement;bact;pc
97200109340;97209;;2024-12-30T11:40:00Z;C;C
97200108537;97209;;2024-12-30T11:10:00Z;C;C
97200108504;97224;;2024-12-30T09:33:00Z;C;C
97200109337;97224;;2024-12-23T13:10:00Z;C;C
97200109338;97224;;2024-12-23T12:30:00Z;N;C
97200108668;97212;;2024-12-23T11:40:00Z;C;C
97200108534;97212;;2024-12-23T11:00:00Z;;C
97200108536;97228;;2024-12-23T10:50:00Z;C;C
97200108535;97212;;2024-12-23T10:25:00Z;C;C
97200108532;97222;;2024-12-19T12:40:00Z;C;C
97200108533;97230;;2024-12-19T10:30:00Z;C;C
97200108702;97214;;2024-12-19T09:15:00Z;C;C
97200108531;97210;;2024-12-19T08:15:00Z;C;C
97200108431;97209;;2024-12-18T12:35:00Z;C;C
97200108430;97229;;2024-12-18T12:30:00Z;C;C
97200108505;97222;;2024-12-18T12:20:00Z;C;C
97200109223;97229;;2024-12-18T11:55:00Z;C;C
97200109225;97230;;2024-12-18T11:45:00Z;C;C
97200108436;97209;;2024-12-18T11:40:00Z;C;C
97200108435;97209;;2024-12-18T11:20:00Z;C;C
97200109238;97221;;2024-12-18T11:15:00Z;C;C
97200109230;97229;;2024-12-18T11:15:00Z;C;C
97200108433;97229;;2024-12-18T10:30:00Z;C;C
97200108434;97229;;2024-12-18T10:00:00Z;C;C
97200108432;97220;;2024-12-18T10:00:00Z;C;C
97200108463;97209;;2024-12-18T09:45:00Z;C;C
97200109237;97213;;2024-12-17T13:10:00Z;C;N
97200108421;97234;;2024-12-17T12:30:00Z;C;C
97200109266;97234;;2024-12-17T11:55:00Z;C;C
97200109226;97213;;2024-12-17T11:50:00Z;C;C
97200108424;97233;;2024-12-17T11:30:00Z;C;C
97200108451;97212;;2024-12-17T11:20:00Z;C;C
97200108459;97213;;2024-12-17T11:15:00Z;C;C
97200108511;97218;;2024-12-17T10:40:00Z;C;C
97200109268;97209;;2024-12-17T10:35:00Z;C;C
97200109275;97212;;2024-12-17T10:30:00Z;C;C
97200108429;97218;;2024-12-17T10:25:00Z;C;C
