annee_reference;indicator_id;domain;territoire;perimeter_id;value;unit;numerator;denominator;source_primary;source_detail;coverage_status;quality_status;record_role;definition;note
2023;QUAL_MICROBIO_CONFORMITE;QUALITE_EAU_POTABLE;Martinique;Martinique;97.1995;%;833;857;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites microbiologiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2023;QUAL_PC_CONFORMITE;QUALITE_EAU_POTABLE;Martinique;Martinique;99.6707;%;908;911;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites physico-chimiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2023;QUAL_MICROBIO_CONFORMITE;QUALITE_EAU_POTABLE;CACEM;CACEM;97.8056;%;312;319;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites microbiologiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2023;QUAL_PC_CONFORMITE;QUALITE_EAU_POTABLE;CACEM;CACEM;100.0;%;319;319;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites physico-chimiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2023;QUAL_MICROBIO_CONFORMITE;QUALITE_EAU_POTABLE;CAESM;CAESM;97.1014;%;134;138;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites microbiologiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2023;QUAL_PC_CONFORMITE;QUALITE_EAU_POTABLE;CAESM;CAESM;100.0;%;138;138;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites physico-chimiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2023;QUAL_MICROBIO_CONFORMITE;QUALITE_EAU_POTABLE;CAP_NORD;CAP_NORD;96.75;%;387;400;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites microbiologiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2023;QUAL_PC_CONFORMITE;QUALITE_EAU_POTABLE;CAP_NORD;CAP_NORD;99.3392;%;451;454;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites physico-chimiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
