year;check_id;lhs;rhs;difference;status;message
2023;CAPNORD_SUBSCRIBER_PARTITION;52638;52638;0;OK;CAP Nord contract + Robert-Trinité Ex-SICSM = total EPCI.
2024;CAPNORD_SUBSCRIBER_PARTITION;51746;51746;0;OK;CAP Nord contract + Robert-Trinité Ex-SICSM = total EPCI.
