year_reference;code_agglo;nom_agglo;commune_principale;code_insee_commune_principale;etat_agglo;taille_agglo_eh;tranche_obligation;maximum_pollutions_entrantes_eh;somme_capacites_nominales_eh;conformite_equipement_agglo;conformite_performance_agglo;conformite_collecte_temps_sec;conformite_globale_agglo;date_mise_a_jour_agglo;type_reseau_majoritaire;source_file
2022;080000197226;Sainte-Anne - BELFOND;Sainte-Anne;97226;En activité;4745.0;"[ 2 000 ; 10 000 [ EH";4745.0;8000.0;Oui;Non;Oui;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000297226;Sainte-Anne - RESIDENCE SOLEIL LEVANT;Sainte-Anne;97226;En activité;193.0;"] 200 ; 2 000 [ EH";193.0;110.0;Oui;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000197227;SAINTE-LUCE;Sainte-Luce;97227;En activité;11340.0;"[ 10 000 ; 100 000 [ E";11340.0;16755.0;Oui;Oui;Oui;Oui;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000497227;SAINTE-LUCE-BELLEVUE-LADOUR;Sainte-Luce;97227;En activité;113.0;"] 200 ; 2 000 [ EH";113.0;450.0;Oui;Oui;N/A;Oui;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000397227;SAINTE-LUCE-LES COTEAUX;Sainte-Luce;97227;En activité;1400.0;"] 200 ; 2 000 [ EH";1400.0;1050.0;Oui;Oui;N/A;Oui;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000597227;SAINTE-LUCE-RAMA;Sainte-Luce;97227;En activité;22.0;"] 200 ; 2 000 [ EH";22.0;350.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000197228;SAINTE-MARIE;Sainte-Marie;97228;En activité;1683.0;"[ 2 000 ; 10 000 [ EH";1683.0;9990.0;Oui;Oui;Oui;Oui;2024-12-06;Séparatif;export-as-telechargement(2).csv
2022;080000897228;SAINTE-MARIE-BONAIR;Sainte-Marie;97228;En activité;347.0;"] 200 ; 2 000 [ EH";347.0;240.0;Non;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000697228;SAINTE-MARIE-CUISINE SCOLAIRE;Sainte-Marie;97228;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;500.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000497228;SAINTE-MARIE-RECULÉE;Sainte-Marie;97228;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;800.0;Non;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000797228;SAINTE-MARIE-ROSE-DES-VENTS;Sainte-Marie;97228;En activité;53.0;"] 200 ; 2 000 [ EH";53.0;350.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000597228;SAINTE-MARIE-SAINT PAUL;Sainte-Marie;97228;En activité;0.0;Taille ≤ 200 EH;0.0;54.0;Non;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000197223;SAINT-ESPRIT;Saint-Esprit;97223;En activité;3555.0;"[ 2 000 ; 10 000 [ EH";3555.0;0.0;Non;Non;Oui;Non;2024-05-15;Séparatif;export-as-telechargement(2).csv
2022;080000297223;SAINT-ESPRIT-PETER-MAILLET;Saint-Esprit;97223;En activité;217.0;"] 200 ; 2 000 [ EH";217.0;200.0;Oui;Oui;N/A;Oui;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000397223;Saint-Esprit - REGALE;Saint-Esprit;97223;En activité;162.0;"] 200 ; 2 000 [ EH";162.0;250.0;Oui;Oui;N/A;Oui;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000497223;Saint-Esprit - RESIDENCE LES COULISSES;Saint-Esprit;97223;En activité;128.0;"] 200 ; 2 000 [ EH";128.0;225.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000797224;SAINT-JOSEPH-BAMBOU-DUCHAMP;Saint-Joseph;97224;En activité;4.0;Taille ≤ 200 EH;4.0;100.0;Oui;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000897224;SAINT-JOSEPH-BELLE-ETOILE;Saint-Joseph;97224;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;500.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080001197224;SAINT-JOSEPH-CHOCO-CHOISY;Saint-Joseph;97224;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;1060.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000297224;SAINT-JOSEPH-CHOISY;Saint-Joseph;97224;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;200.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
