year_reference;code_steu;code_agglo;nom_agglo;nature_steu;epci_normalise;etat_steu;capacite_nominale_eh;capacite_nominale_kg_dbo5;percentile95_m3_j;charge_max_entree_eh;debit_entrant_m3_j;filiere_eau_principale;filiere_boues_principale;conformite_equipement_agglo;conformite_performance_agglo;conformite_collecte_agglo;conformite_globale_agglo;conformite_equipement_steu;conformite_performance_steu;conformite_station_reconstituee;cause_non_conformite;production_boues_tms;code_systeme_collecte;nom_systeme_collecte;code_masse_eau;nom_masse_eau;nom_milieu_rejet;type_milieu_rejet;latitude_rejet_wgs84;longitude_rejet_wgs84;date_derniere_modification_source;date_mise_a_jour_agglo;source_file
2022;080000497206;080000497206;DIAMANT-O'MULLANE;Urbain;CAESM;En service;450.0;27.0;42.0;68.0;45.0;Boue activée faible charge;Epaississement statique gravitaire;Oui;Non;N/A;Non;Oui;Non;;;0.0;S080000497206;Systeme de collecte - DIAMANT-O'Mullane;;;REJET PRINCIPAL DE DIAMANT-O'Mullane;Eau douce de surface;14.4822027;-61.0029231;2024-12-17;2024-12-17;export-as-telechargement(2).csv
2022;080000797206;080000397206;DIAMANT-TAUPINIÈRE;Urbain;CAESM;En service;800.0;48.0;80.0;152.0;14.0;Filtres Plantés;;Oui;Oui;N/A;Oui;Oui;Oui;;;0.0;S080000797206;Systeme de collecte - DIAMANT;;;REJET Diamant-Taupinière;Eau douce de surface;14.4853851;-60.9924789;2024-12-17;2024-12-17;export-as-telechargement(2).csv
2022;080000397207;080000197207;DUCOS;Urbain;CAESM;En service;300.0;18.0;34.0;567.0;20.0;Boue activée faible charge;Epaississement statique gravitaire;Non;Non;Oui;Non;Oui;Oui;True;;0.38;S080000397207;Systeme de collecte - DUCOS-Canal Cocote;FRJT004;Mangrove de la Baie de Genipa;REJET PRINCIPAL DE DUCOS-Canal Cocote;Eau côtière;14.5639719;-60.99395;2024-12-17;2024-12-06;export-as-telechargement(2).csv
2022;080000197207;080000197207;DUCOS;Urbain;CAESM;En service;11000.0;660.0;1524.0;18367.0;1294.0;Boue activée aération prolongée (très faible charge);Filtration à bande;Non;Non;Oui;Non;Non;Non;False;Point de mesure A2 absent;37.5;080000197207;SC du STEU : PAYS NOYE;FRJR028;-;Rejet PAYS NOYE;Eau douce de surface;14.580579;-60.9831755;2024-12-17;2024-12-06;export-as-telechargement(2).csv
2022;080000297207;080000397207;DUCOS-GRANDE-SAVANE;Urbain;CAESM;En service;250.0;15.0;30.0;417.0;28.0;Boue activée faible charge;Epaississement statique gravitaire;Non;Non;N/A;Non;Non;Non;;Mauvaises performances;0.0;S080000297207;Systeme de collecte - DUCOS-Grande Savane;FRJC001;Baie de Genipa;REJET PRINCIPAL DE DUCOS-Grande Savane;Eau douce de surface;14.5763677;-60.9571504;2024-12-17;2024-12-17;export-as-telechargement(2).csv
2022;080002097207;080000497207;DUCOS-VALLON DU BAC;Privé;Non déterminé;En service;150.0;9.0;0.0;0.0;0.0;Biofiltre;;Non;Non;N/A;Non;Non;Non;;Non transmission de l'autosurveillance (STEU);0.0;S080002097207;Systeme de collecte - DUCOS;;;REJET PRINCIPAL DE DUCOS;Eau douce de surface;;;2024-12-19;2024-12-19;export-as-telechargement(2).csv
2022;080000197208;080000197208;FONDS-SAINT-DENIS-LACROIX;Urbain;CAP Nord;En service;100.0;6.0;15.0;36.0;12.0;Boue activée faible charge;Epaississement statique gravitaire;Oui;Non;N/A;Non;Oui;Non;;;0.0;S080000197208;Systeme de collecte - FONDS-ST-DENIS-Lacroix;FRJR120;Roxelane;REJET PRINCIPAL DE FONDS-ST-DENIS-Lacroix;Eau douce de surface;14.7395061;-61.1373789;2024-12-19;2024-12-19;export-as-telechargement(2).csv
2022;080003297209;080000497209;Fort-de-France - CHARMILLES;Urbain;CACEM;En service;200.0;12.0;0.0;200.0;0.0;;;Oui;Non;N/A;Non;Oui;Non;;Mauvaises performances;0.0;S0897209XXXXX;Systeme de collecte - FORT-DE-FRANCE-CHARMILLES;;;REJET PRINCIPAL DE FORT-DE-FRANCE-CHARMILLES;Eau douce de surface;;;2024-12-19;2024-12-19;export-as-telechargement(2).csv
2022;080000797209;080000297209;Fort-de-France - CHP COLSON;Privé;Non déterminé;En service;3000.0;180.0;0.0;0.0;0.0;Boue activée moyenne charge;;Oui;Non;N/A;Non;Oui;Non;;;0.0;S080000797209;Systeme de collecte - FORT-DE-FRANCE-CHP Colson;FRJR117;Case Navire Amont;REJET PRINCIPAL DE FORT-DE-FRANCE-CHP Colson;Eau douce de surface;14.6843925;-61.0890416;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080001097209;080000197209;Fort-de-France - DILLON 1 ET 2;Privé;Non déterminé;En service;250.0;15.0;0.0;6.0;109.0;Boue activée aération prolongée (très faible charge);Epaississement statique gravitaire;Non;Non;Oui;Non;Oui;Non;False;Non transmission complète ou incomplète de l'autosurveillance (STEU);0.09;S080001097209;SYSTEME DE COLLECTE - AMEP;FRJR116;Madame;REJET PRINCIPAL DE AMEP;Eau douce de surface;14.6284067;-61.0572284;2024-12-05;2024-12-06;export-as-telechargement(2).csv
