Année,Code Sandre de l'ouvrage ,Nom de l'ouvrage,Commentaire,Code alternatif de l'ouvrage,Origine du code alternatif,Département,Code INSEE,Commune,Code INSEE déclaré,Lieu dit,Début,Fin,Volume (m3),Code usage BNPE,Libellé usage BNPE,Code de l'usage déclaré,Usage déclaré,Type d'eau,Longitude,Latitude,Précision de la localisation,Mode d'obtention du volume,Code du statut du volume d'eau,Libellé du statut du volume d'eau,Code de qualification du volume d'eau,Libellé de qualification du volume d'eau,Date de début d'exploitation d'un ouvrage de prélèvement,Date de fin d'exploitation d'un ouvrage de prélèvement,Nature du point de prélèvement,Code BSS,Code de la zone hydrographique,Nom de la zone hydrographique,Code entité hydrographique cours d'eau,Code entité hydrographique plan d'eau,Plan d'eau non référencé,Information complémentaire de la ressource en eau,Code BDRHFV1,Libellé entité hydrologique BDRHFV1,Code BDLISA,Libellé entité hydrologique BDLISA,Code de la mer,Libellé de la mer
2023,OPR0000276746,Rivière Macouba (gravitaire),,ODP-0010,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,219183,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.48929174601165,1.339618014491218E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2103,,21030480,,non,,,,,,,
2023,OPR0000276736,Attila,,ODP-0259,OEMAR,972,97233,MORNE-VERT,97233,,31/12/2022,30/12/2023,212608,AEP,EAU POTABLE,5,AEP,SOUT,-61.13602598165926,14.704653003726108,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,1173ZZ0068,,,,,non,,,,972AF07,Hyaloclastites du Morne Jacob,,
2023,OPR0000276725,Montagne Pelée 1 Pécoul FR3,,ODP-0272,OEMAR,972,97201,AJOUPA-BOUILLON,97201,,31/12/2022,30/12/2023,203344,AEP,EAU POTABLE,5,AEP,SOUT,-61.118605348598635,14.815980150865826,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,1168ZZ0051,,,,,non,,,,972AC05,Andésites de l'édifice initial du Mont Conil,,
2023,OPR0000493792,Rivière Blanche - SIBAN Station STA - 48,,ODP-0355,OEMAR,972,97224,SAINT-JOSEPH,97224,,31/12/2022,30/12/2023,193682,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.48929057041268,1.3227536004941794E-4,1,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2401,,24010520,,non,,,,,,,
2023,OPR0000276807,Canal Rivière du Galion,,ODP-0106,OEMAR,972,97230,TRINITE,97230,,31/12/2022,30/12/2023,184946,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",4A,Agro-alimentaire,CONT,-67.48929000240707,1.327788177237035E-4,1,EST,0,Non qualifié,1,Correcte,31/12/1899,,F,,2225,,22251012,,non,,,,,,,
2023,OPR0000276734,Urion,,ODP-0276,OEMAR,972,97233,MORNE-VERT,97233,,31/12/2022,30/12/2023,180540,AEP,EAU POTABLE,5,AEP,CONT,-61.13602598165926,14.704653003726108,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2316,,23160850,,non,,,,,,,
2023,OPR0000276745,Rivière Roche (prise basse),,ODP-0008,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,174075,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.48929160481798,1.3404811683649263E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2104,,21040210,,non,,,,,,,
2023,OPR0000276742,Rivière Basse Pointe (prise haute  pompage),,ODP-0006,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,172169,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.48929149229305,1.3391769678162366E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2105,,21050440,,non,,,,,,,
2023,OPR0000639976,Rivière Falaise (haut),,ODP-0395,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,160000,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",3,AGRICULTURE-ELEVAGE (hors irrigation),CONT,-67.48929153466013,1.3405383512941026E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2104,,21040200,,non,,,,,,,
2023,OPR0000276726,Montagne Pelée 2,,ODP-0294,OEMAR,972,97201,AJOUPA-BOUILLON,97201,,31/12/2022,30/12/2023,137525,AEP,EAU POTABLE,5,AEP,SOUT,-61.118605348598635,14.815980150865826,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,1168ZZ0051,,,,,non,,,,972AC05,Andésites de l'édifice initial du Mont Conil,,
2023,OPR0000276716,Calvaire,,ODP-0271,OEMAR,972,97212,GROS-MORNE,97212,,31/12/2022,30/12/2023,135998,AEP,EAU POTABLE,5,AEP,CONT,-61.024570542369574,14.708455418650365,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2221,,22211630,,non,,,,,,,
2023,OPR0000276721,Essente,,ODP-0273,OEMAR,972,97225,SAINT-PIERRE,97225,,31/12/2022,30/12/2023,134515,AEP,EAU POTABLE,5,AEP,SOUT,-61.17749932058234,14.771613979598781,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,1168ZZ0050,,,,,non,,,,972AF01,Formations des andésites,,
2023,OPR0000276805,Captage sur rivière Roxelane,,ODP-0102,OEMAR,972,97225,SAINT-PIERRE,97225,,31/12/2022,30/12/2023,127774,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",4A,Agro-alimentaire,CONT,-67.48929182266461,1.331508699689155E-4,1,MES,0,Non qualifié,1,Correcte,31/12/1899,,F,,2328,,23280480,,non,,,,,,,
2023,OPR0000276727,Piton Gelé,,ODP-0274,OEMAR,972,97218,MORNE-ROUGE,97218,,31/12/2022,30/12/2023,118008,AEP,EAU POTABLE,5,AEP,SOUT,-61.12185325461485,14.769544323206384,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,1173ZZ0065,,,,,non,,,,972AF07,Hyaloclastites du Morne Jacob,,
2023,OPR0000276749,Rivière Poquet (canal Pecoul-Chalvet),,ODP-0004,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,117850,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.48929133014428,1.3391361103742543E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2106,,21060400,,non,,,,,,,
2023,OPR0000276738,Yang Ting,,ODP-0252,OEMAR,972,97208,FONDS-SAINT-DENIS,97208,,31/12/2022,30/12/2023,107433,AEP,EAU POTABLE,5,AEP,SOUT,-61.107722352142325,14.72273962354209,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,1173ZZ0062,,,,,non,,,,972AF07,Hyaloclastites du Morne Jacob,,
2023,OPR0000276806,Rivière  Saint-Pierre,,ODP-0105,OEMAR,972,97225,SAINT-PIERRE,97225,,31/12/2022,30/12/2023,103879,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",4B,Industrie hors agro-alim,CONT,-67.48929212568453,1.331731026578068E-4,1,MES,0,Non qualifié,1,Correcte,31/12/1899,,F,,2004,,20040430,,non,,,,,,,
2023,OPR0000276743,Rivière Basse Pointe (canal Gradis),,ODP-0007,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,95805,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.48929144077887,1.34018533336521E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2105,,21050440,,non,,,,,,,
2023,OPR0000276797,Rivière Sainte Marie,,ODP-0094,OEMAR,972,97228,SAINTE-MARIE,97228,,31/12/2022,30/12/2023,94032,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",4A,Agro-alimentaire,CONT,-67.48929035650804,1.333321505359738E-4,1,MES,0,Non qualifié,1,Correcte,31/12/1899,,F,,2213,,22131360,,non,,,,,,,
2023,OPR0000276803,Rivière pilote,,ODP-0229,OEMAR,972,97220,RIVIERE-PILOTE,97220,,31/12/2022,30/12/2023,82502,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",4A,Agro-alimentaire,CONT,-67.48928955077186,1.3085083207311541E-4,1,MES,0,Non qualifié,1,Correcte,31/12/1899,,F,,2812,,28120420,,non,,,,,,,
2023,OPR0000639977,Rivière  Poquet Prise haute Leyritz,,ODP-0396,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,80000,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",3,AGRICULTURE-ELEVAGE (hors irrigation),CONT,-67.48929129208652,1.3402325951336836E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2106,,21060400,,non,,,,,,,
2023,OPR0000639982,Rivière Roche (gravitaire),,ODP-0405,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,80000,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",3,AGRICULTURE-ELEVAGE (hors irrigation),CONT,-67.48929154871679,1.3411938790066667E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2104,,21040210,,non,,,,,,,
2023,OPR0000493700,Source du Mont Vert -  ASA MONT VERT,,ODP-0088,OEMAR,972,97222,ROBERT,97222,,31/12/2022,30/12/2023,77540,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.4892900128052,1.3251734982182542E-4,1,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2226,,22260280,,non,,,,,,,
2023,OPR0000567238,Rivière Saint Pierre - Habitation PERINELLE,,ODP-B023,OEMAR,972,97225,SAINT-PIERRE,97225,,31/12/2022,30/12/2023,75807,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",3,AGRICULTURE-ELEVAGE (hors irrigation),CONT,-67.48929196760315,1.3311545088026767E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2001,,20010280,,non,,,,,,,
2023,OPR0000276715,Demare,,ODP-0264,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,71726,AEP,EAU POTABLE,5,AEP,SOUT,-61.11736704916713,14.840926344506983,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,1168ZZ0048,,,,,non,,,,972AC05,Andésites de l'édifice initial du Mont Conil,,
2023,OPR0000276773,Rivière Trinité - BANANDES DU GALION,,ODP-A029,OEMAR,972,97230,TRINITE,97230,,31/12/2022,30/12/2023,68627,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.48928996023388,1.327068738325452E-4,1,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2225,,22251790,,non,,,,,,,
2023,OPR0000493705,Rivière Blanche - CHARMINE BANANIERE,,ODP-0103,OEMAR,972,97224,SAINT-JOSEPH,97224,,31/12/2022,30/12/2023,57683,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",3,AGRICULTURE-ELEVAGE (hors irrigation),CONT,-67.48929053307162,1.3235899666504065E-4,1,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2514,,25141080,,non,,,,,,,
2023,OPR0000276722,Fonds Les Sources,,ODP-0265,OEMAR,972,97201,AJOUPA-BOUILLON,97201,,31/12/2022,30/12/2023,55457,AEP,EAU POTABLE,5,AEP,SOUT,-61.118605348598635,14.815980150865826,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,1168ZZ0046,,,,,non,,,,972AF01,Formations des andésites,,
2023,OPR0000493763,Rivière Blanche - SIBAN GT - 41,,ODP-0354,OEMAR,972,97224,SAINT-JOSEPH,97224,,31/12/2022,30/12/2023,54779,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",3,AGRICULTURE-ELEVAGE (hors irrigation),CONT,-67.48929052525939,1.3235337759957534E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2514,,25141080,,non,,,,,,,
2023,OPR0000276735,Verrier,,ODP-0257,OEMAR,972,97233,MORNE-VERT,97233,,31/12/2022,30/12/2023,52746,AEP,EAU POTABLE,5,AEP,CONT,-61.13602598165926,14.704653003726108,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2316,,23160750,,non,,,,,,,
2023,OPR0000276719,Grand'Rivière,,ODP-0268,OEMAR,972,97211,GRAND'RIVIERE,97211,,31/12/2022,30/12/2023,51081,AEP,EAU POTABLE,5,AEP,CONT,-61.17984147677704,14.846996984898727,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2101,,21010860,,non,,,,,,,
2023,OPR0000276764,Rivière claire - Hangar Habitation ASSIER,,ODP-0283,OEMAR,972,97214,LORRAIN,97214,,31/12/2022,30/12/2023,50048,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",3,AGRICULTURE-ELEVAGE (hors irrigation),CONT,-67.48929106215398,1.3378862067131892E-4,1,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2208,,22080120,,non,,,,,,,
