code_ouvrage;nom_ouvrage;code_alternatif;origine_code_alternatif;departement;code_insee;commune;lieu_dit;type_eau;longitude;latitude;precision_localisation;code_bss;code_zone_hydro;nom_zone_hydro;code_entite_hydro_cours_eau;code_bdlisa;libelle_bdlisa;date_debut_exploitation;date_fin_exploitation
OPR0000276811;Source Didier SEMDD;ODP-0112;OEMAR;972;97209;FORT-DE-FRANCE;;SOUT;-67.48929121553162;0.00013223890472452028;1;;;;;972AF07;Hyaloclastites du Morne Jacob;;
OPR0000276812;Source Mabelo SEMDD;ODP-0113;OEMAR;972;97209;FORT-DE-FRANCE;;SOUT;-67.48929121553162;0.00013223890472452028;1;;;;;972AF07;Hyaloclastites du Morne Jacob;;
OPR0000276719;Grand'Rivière;ODP-0268;OEMAR;972;97211;GRAND'RIVIERE;;CONT;-61.17984147677704;14.846996984898727;5;;2101;;21010860;;;;
OPR0000276716;Calvaire;ODP-0271;OEMAR;972;97212;GROS-MORNE;;CONT;-61.024570542369574;14.708455418650365;5;;2221;;22211630;;;;
OPR0000276718;Galion Bras Gommier;ODP-0270;OEMAR;972;97212;GROS-MORNE;;CONT;-61.024570542369574;14.708455418650365;5;;2221;;22211630;;;;
OPR0000276714;Lézarde;ODP-A250;OEMAR;972;97212;GROS-MORNE;;CONT;-61.024570542369574;14.708455418650365;5;;2503;;25031480;;;;
OPR0000276752;Rivière Lézarde - CONSEIL GENERAL;ODP-B250;OEMAR;972;97212;GROS-MORNE;;CONT;-67.48929058485463;0.00013259109207824343;1;;2503;;25031480;;;;
OPR0000276787;Source Affluent Petite Riviere Lézarde - SARL BAGATELLE;ODP-0107;OEMAR;972;97212;GROS-MORNE;;SOUT;-67.4892903544115;0.00013255622323980477;1;;;;;972AG17;Laves de Vert Pré et du François;;
OPR0000276788;Source Affluent Rivière du Galion - SARL BAGATELLE;ODP-0232;OEMAR;972;97212;GROS-MORNE;;SOUT;-67.4892902322109;0.0001327719665689061;1;;;;;972AG17;Laves de Vert Pré et du François;;
OPR0000276780;Petite rivière Lézarde - UNION SARL;ODP-0243;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929015140962;0.00013194698293887613;1;;2523;;25330750;;;;
OPR0000276781;Petite rivière Lézarde - UNION SARL;ODP-0244;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929014928184;0.00013188184505625534;1;;2523;;25330750;;;;
OPR0000276779;Rivière Bochette - UNION SARL;ODP-B035;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929020327321;0.0001319432669494022;1;;2523;;25230130;;;;
OPR0000276796;Rivière Longvilliers Pont 1;ODP-0095;OEMAR;972;97213;LAMENTIN;;CONT;-67.4892903996901;0.0001319086054785453;1;;2402;;24020520;;;;
OPR0000276739;Rivière Lézarde - DESIRADE SARL;ODP-A001;OEMAR;972;97213;LAMENTIN;;CONT;-67.4892903333757;0.0001321636461881144;1;;2521;;25211480;;;;
OPR0000276740;Rivière Lézarde - HANGAR DESIRADE SARL;ODP-B001;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929023975424;0.00013203838520835524;1;;2521;;25211480;;;;
OPR0000276760;Rivière Lézarde - Habitation BOCHET;ODP-A110;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929034134922;0.00013225934169185753;1;;2521;;25211480;;;;
OPR0000276761;Rivière Lézarde - Habitation BOCHET;ODP-B110;OEMAR;972;97213;LAMENTIN;;CONT;-67.4892903333757;0.0001321636461881144;1;;2521;;25211480;;;;
OPR0000276772;Rivière Lézarde - SARL RIVIERE LEZARDE;ODP-0279;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929022818818;0.00013197073994287593;1;;2521;;25211480;;;;
OPR0000567237;Rivière Lézarde - SARL RIVIERE LEZARDE;ODP-0117;OEMAR;972;97213;LAMENTIN;;CONT;-67.4892903333757;0.0001321636461881144;1;;2521;;25211480;;;;
OPR0000276776;Rivière Lézarde - SARL SOUDON;ODP-0032;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929029839084;0.00013210823119129216;1;;2521;;25211480;;;;
OPR0000276777;Rivière Lézarde - SARL SOUDON Hangar;ODP-0033;OEMAR;972;97213;LAMENTIN;;CONT;-67.4892902897275;0.00013213727356108557;1;;2521;;25411480;;;;
OPR0000276782;Rivière Lézarde - UNION SARL;ODP-A035;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929029907173;0.0001321061747750336;1;;2521;;25211480;;;;
OPR0000276759;Rivière Lézarde Hangar;ODP-C015;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929034490592;0.00013221315350250818;1;;2521;;25211480;;;;
OPR0000276757;Rivière Lézarde N°1;ODP-A015;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929023975424;0.00013203838520835524;1;;2521;;25211480;;;;
OPR0000276758;Rivière Lézarde N°2;ODP-B015;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929034134922;0.00013225934169185753;1;;2521;;25211480;;;;
OPR0000276771;Rivière Lézarde SARl PETIT MORNE  P0;ODP-0118;OEMAR;972;97213;LAMENTIN;;CONT;-67.4892902178853;0.00013180601920849248;1;;2541;;25411480;;;;
OPR0000276768;Rivière Lézarde SARl PETIT MORNE  P1;ODP-0246;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929020849629;0.00013184316097179013;1;;2541;;25411480;;;;
OPR0000276769;Rivière Lézarde SARl PETIT MORNE  P2;ODP-0247;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929020767206;0.0001318465793127955;1;;2541;;25411480;;;;
OPR0000276770;Rivière Lézarde SARl PETIT MORNE  P3;ODP-0248;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929020713452;0.00013184914983306164;1;;2523;;25230130;;;;
OPR0000276767;Rivière Morne Rouge - Jardiniers du nord;ODP-0025;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929128017986;0.00013314620705479614;1;;2112;;21120552;;;;
OPR0000276817;Rivière lézarde;ODP-0031;OEMAR;972;97213;LAMENTIN;;CONT;-67.48929034490592;0.00013221315350250818;1;;2521;;25211480;;;;
OPR0000276713;Capot;ODP-0249;OEMAR;972;97214;LORRAIN;;CONT;-61.08087028159415;14.799495436620607;5;;2115;;21150560;;;;
OPR0000276720;Lorrain;ODP-0269;OEMAR;972;97214;LORRAIN;;CONT;-61.08087028159415;14.799495436620607;5;;2205;;22051300;;;;
OPR0000276762;N°19 Retenue Rivière Lorrain - Habitation ASSIER;ODP-A021;OEMAR;972;97214;LORRAIN;;CONT;-67.48929106124018;0.00013382064845081061;1;;2208;;22080120;;;;
OPR0000276763;N°20 Retenue Rivière Lorrain - Habitation ASSIER;ODP-B021;OEMAR;972;97214;LORRAIN;;CONT;-67.48929099287413;0.00013378255064876803;1;;2207;;22071200;;;;
OPR0000276818;Rivière Lézarde;ODP-0061;OEMAR;972;97214;LORRAIN;;CONT;-67.48929028981709;0.00013213736375475939;1;;2521;;25211480;;;;
OPR0000276764;Rivière claire - Hangar Habitation ASSIER;ODP-0283;OEMAR;972;97214;LORRAIN;;CONT;-67.48929106215398;0.00013378862067131892;1;;2208;;22080120;;;;
OPR0000276784;Rivière Roche - SCEA PREVILLE;ODP-0071;OEMAR;972;97215;MACOUBA;;CONT;-67.48929161530896;0.00013402672289129818;1;;2104;;21040210;;;;
OPR0000591074;Source Potiche;ODP-0360;OEMAR;972;97215;MACOUBA;;SOUT;-61.15284944092275;14.847460844106994;5;1166ZZ0020;;;;;;;
OPR0000276791;Source Rivière Roche -EARL LES SERRES DE PREVILLE 07203740;ODP-0351;OEMAR;972;97215;MACOUBA;;SOUT;-67.4892916708457;0.00013390741466798257;1;;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;
OPR0000276795;Source Rivière Roche -EARL LES SERRES DE PREVILLE 07751018;ODP-D351;OEMAR;972;97215;MACOUBA;;SOUT;-67.4892916708457;0.00013390741466798257;1;;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;
OPR0000276792;Source Rivière Roche -EARL LES SERRES DE PREVILLE 07751019;ODP-A351;OEMAR;972;97215;MACOUBA;;SOUT;-67.4892916708457;0.00013390741466798257;1;;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;
OPR0000276794;Source Rivière Roche -EARL LES SERRES DE PREVILLE 07751020;ODP-C351;OEMAR;972;97215;MACOUBA;;SOUT;-67.4892916708457;0.00013390741466798257;1;;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;
OPR0000276793;Source Rivière Roche -EARL LES SERRES DE PREVILLE 196553;ODP-B351;OEMAR;972;97215;MACOUBA;;SOUT;-67.4892916708457;0.00013390741466798257;1;;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;
OPR0000276778;Rivière du Lorrain - PER LAGRANGE;ODP-0353;OEMAR;972;97216;MARIGOT;;CONT;-12.947114685336924;9.633179476124443;1;;;;;;;;
OPR0000276717;Essente;ODP-0275;OEMAR;972;97218;MORNE-ROUGE;;CONT;-61.12185325461485;14.769544323206384;5;;2328;;23280320;;;;
OPR0000276814;Lafort SOMES;ODP-0115;OEMAR;972;97218;MORNE-ROUGE;;SOUT;-67.48929144601344;0.00013308409063005628;1;;;;;972AF07;Hyaloclastites du Morne Jacob;;
OPR0000276813;Mont béni SOMES;ODP-0114;OEMAR;972;97218;MORNE-ROUGE;;SOUT;-67.48929144601344;0.00013308409063005628;1;;;;;972AF07;Hyaloclastites du Morne Jacob;;
