annee_reference;indicator_id;domain;territoire;perimeter_id;value;unit;numerator;denominator;source_primary;source_detail;coverage_status;quality_status;record_role;definition;note
2022;QUAL_MICROBIO_CONFORMITE;QUALITE_EAU_POTABLE;Martinique;Martinique;98.8421;%;939;950;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites microbiologiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2022;QUAL_PC_CONFORMITE;QUALITE_EAU_POTABLE;Martinique;Martinique;99.3049;%;1000;1007;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites physico-chimiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2022;QUAL_MICROBIO_CONFORMITE;QUALITE_EAU_POTABLE;CACEM;CACEM;98.8024;%;330;334;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites microbiologiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2022;QUAL_PC_CONFORMITE;QUALITE_EAU_POTABLE;CACEM;CACEM;99.1354;%;344;347;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites physico-chimiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2022;QUAL_MICROBIO_CONFORMITE;QUALITE_EAU_POTABLE;CAESM;CAESM;99.1342;%;229;231;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites microbiologiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2022;QUAL_PC_CONFORMITE;QUALITE_EAU_POTABLE;CAESM;CAESM;100.0;%;231;231;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites physico-chimiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2022;QUAL_MICROBIO_CONFORMITE;QUALITE_EAU_POTABLE;CAP_NORD;CAP_NORD;98.7013;%;380;385;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites microbiologiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
2022;QUAL_PC_CONFORMITE;QUALITE_EAU_POTABLE;CAP_NORD;CAP_NORD;99.0676;%;425;429;ARS_SISE_EAUX;Hub'Eau qualite_eau_potable/resultats_dis;COMPLETE;TO_VALIDATE_AGAINST_RPQS;DIAGNOSTIC;"Conformité aux limites physico-chimiques ; prélèvements uniques avec statut disponible.";Comparer aux P101.1/P102.1 et aux chiffres ARS/RPQS avant passage en PRODUCTION.
