annee_reference;indicator_id;domain;territoire;value;unit;source_primary;source_detail;source_file;source_page;coverage_status;quality_status;record_role;population_millesime;note
2023;POP_MUNICIPALE;DEMOGRAPHIE;Martinique;360630;habitants;INSEE;OFFICIEL_MILLESIME_N;fact_population_resolue_2019_2024.csv;;COMPLETE;OK;PRODUCTION;2023;Population municipale.
2023;POP_MUNICIPALE;DEMOGRAPHIE;CACEM;150642;habitants;INSEE;OFFICIEL_MILLESIME_N;fact_population_resolue_2019_2024.csv;;COMPLETE;OK;PRODUCTION;2023;Population municipale.
2023;POP_MUNICIPALE;DEMOGRAPHIE;CAESM;114903;habitants;INSEE;OFFICIEL_MILLESIME_N;fact_population_resolue_2019_2024.csv;;COMPLETE;OK;PRODUCTION;2023;Population municipale.
2023;POP_MUNICIPALE;DEMOGRAPHIE;CAP_NORD;95085;habitants;INSEE;OFFICIEL_MILLESIME_N;fact_population_resolue_2019_2024.csv;;COMPLETE;OK;PRODUCTION;2023;Population municipale.
2023;EP_ABONNES;EAU_POTABLE;CACEM;77158;abonnés;RAD_RPQS;ODYSSI_BILAN;Bilan ODYSSI 2023.pdf;22;COMPLETE;OK;PRODUCTION;;
2023;EP_VOLUME_FACTURE;EAU_POTABLE;CACEM;10947922;m³/an;RAD_RPQS;ODYSSI_BILAN;Bilan ODYSSI 2023.pdf;33;COMPLETE;OK;PRODUCTION;;
2023;EP_VOLUME_PRODUIT;EAU_POTABLE;CACEM;15103494.0;m³/an;RAD_RPQS;ODYSSI_BILAN;Bilan ODYSSI 2023.pdf;29;COMPLETE;OK;PRODUCTION;;
2023;EP_VOLUME_PRELEVE_LOCAL;EAU_POTABLE;CACEM;15400582.0;m³/an;RAD_RPQS;ODYSSI_BILAN;Bilan ODYSSI 2023.pdf;29;COMPLETE;OK;DIAGNOSTIC;;BNPE reste source primaire des prélèvements.
2023;P104.3;EAU_POTABLE;CACEM;63.21;%;RAD_RPQS;ODYSSI_BILAN;Bilan ODYSSI 2023.pdf;30;COMPLETE;OK;PRODUCTION;;
2023;P106.3;EAU_POTABLE;CACEM;19.8;m³/km/j;RAD_RPQS;ODYSSI_BILAN;Bilan ODYSSI 2023.pdf;30;COMPLETE;OK;PRODUCTION;;
2023;EP_RESEAU_KM;EAU_POTABLE;CACEM;1038.0;km;RAD_RPQS;ODYSSI_BILAN;Bilan ODYSSI 2023.pdf;27;COMPLETE;OK;PRODUCTION;;
2023;AC_ABONNES;ASSAINISSEMENT_COLLECTIF;CACEM;40058.0;abonnés;RAD_RPQS;ODYSSI_BILAN;Bilan ODYSSI 2023.pdf;35;COMPLETE;OK;PRODUCTION;;
2023;AC_RESEAU_KM;ASSAINISSEMENT_COLLECTIF;CACEM;384.0;km;RAD_RPQS;ODYSSI_BILAN;Bilan ODYSSI 2023.pdf;36;COMPLETE;OK;PRODUCTION;;
2023;AC_BOUES_TMS;ASSAINISSEMENT_COLLECTIF;CACEM;1070.42;tMS/an;RAD_RPQS;ODYSSI_BILAN;Bilan ODYSSI 2023.pdf;40;COMPLETE;OK;PRODUCTION;;
2023;AC_VOLUME_FACTURE;ASSAINISSEMENT_COLLECTIF;CACEM;4945906;m³/an;RAD_RPQS;ODYSSI_BILAN;Bilan ODYSSI 2023.pdf;41;COMPLETE;OK;PRODUCTION;;
