year_reference;severity;issue_type;message
2022;WARNING;AEP_INVENTORY_INCOMPLETE;BNPE contient 29 ouvrages AEP, contre 35 captages dans le rapport ODE. Ne pas utiliser BNPE seule pour l'inventaire.
2022;INFO;AEP_COORDINATES_APPROXIMATE;Les coordonnées des ouvrages AEP ont une précision 5/6 : elles ne doivent pas être traitées comme localisation exacte.
